OG0000847	PFAM short chain dehydrogenase
OG0008102	Phosphate acyltransferases
OG0000630	alpha/beta hydrolase fold
OG0002681	50S ribosome-binding GTPase
OG0000306	Catalyzes the formation of S-adenosylmethionine from methionine and ATP
OG0006675	Aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)
OG0001500	Aldehyde dehydrogenase family
OG0009989	conserved nuclear protein that interacts with GTP-Gsp1p, which is a Ran homolog of the Ras GTPase family, and stimulates nucleotide release, involved in nuclear protein import, nucleotide release is inhibited by Yrb1p
OG0003627	acyl-CoA dehydrogenase
OG0004859	Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism. Adenylate kinase activity is critical for regulation of the phosphate utilization and the AMP de novo biosynthesis pathways
OG0003496	Domain in Tre-2, BUB2p, and Cdc16p. Probable Rab-GAPs.
OG0006913	Charged multivesicular body protein
OG0001815	DHHC palmitoyltransferase
OG0003666	Belongs to the protein kinase superfamily
OG0005175	Required for proper 27S pre-rRNA processing and 60S ribosome subunit assembly
OG0004977	dipeptidyl-peptidase activity
OG0007662	Alpha-tubulin suppressor and related RCC1 domain-containing
OG0004129	Binds the poly(A) tail of mRNA
OG0005016	Bestrophin, RFP-TM, chloride channel
OG0006860	Metallo-beta-lactamase domain protein
OG0009822	peptide-methionine (R)-S-oxide reductase activity
OG0004900	Trimethylguanosine synthase homolog (S. cerevisiae)
OG0002840	ATP-binding cassette sub-family D
OG0004044	N-terminal peptidyl-methionine acetylation
OG0001536	delta24-sterol reductase activity
OG0005243	WD40 repeats
OG0003094	weak similarity to SP P19784 CSK22_HUMAN Casein kinase II subunit alpha' (EC 2.7.11.1) (CK II).taxon 9606 Homo sapiens
OG0000639	Ankyrin repeat
OG0001578	Ring finger
OG0000947	dual specificity protein phosphatase CDC14A
OG0001152	negative regulation of inclusion body assembly
OG0000125	spliceosomal tri-snRNP complex assembly
OG0004897	regulation of defense response to virus by host
OG0000890	Peptidyl-prolyl cis-trans isomerase
OG0009067	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
OG0000504	Ankyrin repeats (3 copies)
OG0001284	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
OG0000960	Belongs to the GPI family
OG0000448	serine threonine-protein kinase
OG0004051	Binds to proline rich sequences in various regulatory formin-like proteins and also to membrane phospholipids. Binds to actin and affects the structure of the cytoskeleton
OG0002697	Ribosomal protein S18
OG0004880	RNA-binding protein mei2 homologue
OG0004687	NADP biosynthetic process
OG0003494	Glycosyl hydrolase family 14
OG0001035	Peptide methionine sulfoxide reductase
OG0002682	2-acylglycerol O-acyltransferase activity
OG0004742	Serine/threonine phosphatases, family 2C, catalytic domain
OG0000110	geranylgeranyl reductase
OG0005494	Exostosin family
OG0001410	Domain in the Doublecortin (DCX) gene product
OG0000905	Responsible for synthesis of pseudouridine from uracil
OG0003502	N,N-dimethylaniline monooxygenase activity
OG0000257	Belongs to the chaperonin (HSP60) family
OG0000894	Ubiquitin-activating enzyme active site
OG0000992	PFAM RNA binding S1 domain protein
OG0009784	UBX domain-containing protein
OG0000884	palmitoyl-(protein) hydrolase activity
OG0009791	ICE family protease (Caspase) p20 domain-containing protein
OG0005154	GPN-loop GTPase 1
OG0002203	phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity
OG0007257	phosphatase 2C
OG0008439	symporter activity
OG0004824	Source PGD
OG0000913	B-cell lymphoma 3 protein
OG0000556	microtubule motor activity
OG0008694	MAP kinase kinase kinase activity
OG0008474	Major facilitator superfamily
OG0001018	Fructosamine kinase
OG0002992	kh domain-containing protein
OG0003611	potassium:proton antiporter activity
OG0005289	Belongs to the glycosyltransferase 1 family. Bacterial plant glycogen synthase subfamily
OG0008347	Belongs to the glycosyl hydrolase 5 (cellulase A) family
OG0001441	UDP-glucose glucosyltransferase
OG0006396	TIGRFAM glycosyltransferase, MGT family
OG0007568	mitochondrial respiratory chain complex I assembly
OG0003185	plant-type cell wall cellulose biosynthetic process
OG0003241	Sulfite exporter TauE/SafE
OG0002530	adenosine
OG0000419	Elongation factor
OG0003509	phosphonopyruvate decarboxylase
OG0010106	Protein-tyrosine-phosphatase MKP1-like
OG0006357	molybdopterin molybdotransferase activity
OG0000342	protein phosphatase 2C 13
OG0004319	raffinose alpha-galactosidase activity
OG0005331	Major facilitator Superfamily
OG0000212	alpha-1,4-glucan synthase activity
OG0006249	Belongs to the CDP-alcohol phosphatidyltransferase class-I family
OG0001070	phosphoglycerate mutase activity
OG0000750	It is involved in the biological process described with protein phosphorylation
OG0008199	Catalyzes the formation of phosphatidylethanolamine (PtdEtn) from phosphatidylserine (PtdSer). Plays a central role in phospholipid metabolism and in the interorganelle trafficking of phosphatidylserine
OG0002302	FGFR1 oncogene partner
OG0000406	protein serine/threonine kinase activity
OG0004047	Reductase C-terminal
OG0000354	Belongs to the glycosyl hydrolase 30 family
OG0002823	L-xylulose reductase (NADP+) activity
OG0009889	Chaperone protein which promotes assembly of the 20S proteasome as part of a heterodimer with PSMG1
OG0003065	secondary active sulfate transmembrane transporter activity
OG0000237	medium-chain-acyl-CoA dehydrogenase activity
OG0003867	Responsible for synthesis of pseudouridine from uracil
OG0007686	Domain with 2 conserved Trp (W) residues
OG0008818	Structure-specific nuclease with 5'-flap endonuclease and 5'-3' exonuclease activities involved in DNA replication and repair. During DNA replication, cleaves the 5'-overhanging flap structure that is generated by displacement synthesis when DNA polymerase encounters the 5'-end of a downstream Okazaki fragment. It enters the flap from the 5'-end and then tracks to cleave the flap base, leaving a nick for ligation. Also involved in the long patch base excision repair (LP-BER) pathway, by cleaving within the apurinic apyrimidinic (AP) site-terminated flap. Acts as a genome stabilization factor that prevents flaps from equilibrating into structurs that lead to duplications and deletions. Also possesses 5'-3' exonuclease activity on nicked or gapped double- stranded DNA, and exhibits RNase H activity. Also involved in replication and repair of rDNA and in repairing mitochondrial DNA
OG0005992	UDP-GlcNAc betaGal beta-1,3-N-acetylglucosaminyltransferase-like
OG0008054	RING-like zinc finger
OG0000361	Ethylmalonic encephalopathy 1
OG0002232	AarF domain-containing protein kinase
OG0002952	signal peptide peptidase-like
OG0000820	UDP-glucoronosyl and UDP-glucosyl transferase
OG0005672	Binds directly to 23S ribosomal RNA and is necessary for the in vitro assembly process of the 50S ribosomal subunit. It is not involved in the protein synthesizing functions of that subunit
OG0005033	Isochorismatase family
OG0000048	calmodulin-dependent cyclic-nucleotide phosphodiesterase activity
OG0007851	integral membrane protein
OG0004754	ATP-binding cassette, sub-family E
OG0004136	xylan 1,4-beta-xylosidase activity
OG0004672	UDP binding domain
OG0007643	Glycosyl hydrolase family 45
OG0007250	Belongs to the 14-3-3 family
OG0000578	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
OG0002086	Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family
OG0001818	short chain dehydrogenase
OG0001057	Pantothenate kinase
OG0001095	Radical SAM superfamily
OG0000402	calcium ion binding
OG0000892	inositol oxygenase activity
OG0005366	Domain in the RNA-binding Lupus La protein; unknown function
OG0002410	metallocarboxypeptidase activity. It is involved in the biological process described with proteolysis
OG0000257	TCP-1/cpn60 chaperonin family
OG0000458	Spizellomyces punctatus DAOM BR117
OG0000245	positive regulation of cilium movement
OG0004295	PAB1-binding protein 1. Source PGD
OG0009976	Catalyzes the ATP-dependent phosphorylation of L- homoserine to L-homoserine phosphate
OG0006170	N2,N2-dimethylguanosine tRNA methyltransferase
OG0006149	FR47-like protein
OG0001433	protein kinase activity
OG0005346	GTPase activity
OG0003392	Major Facilitator Superfamily
OG0002629	Glutathione S-transferase. Source PGD
OG0010038	carbohydrate derivative binding
OG0000440	chloride channel
OG0002358	hyaluronan metabolic process
OG0000920	tyrosine-tRNA ligase activity
OG0003864	Belongs to the protein kinase superfamily
OG0001136	Belongs to the peptidase C1 family
OG0004405	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
OG0003364	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH
OG0009540	oxidoreductase activity
OG0008212	tetratricopeptide repeat
OG0000613	serine-type exopeptidase activity
OG0001038	alpha-galactosidase activity
OG0004411	Phosphomethylpyrimidine synthase
OG0003346	transcription coactivator activity
OG0001616	RNA uridylyltransferase activity
OG0001252	iron ion binding
OG0009440	S1 P1 nuclease
OG0000400	Pfam:RRM_6
OG0007931	RNA recognition motif 2
OG0001388	assists the folding of proteins upon ATP hydrolysis
OG0000716	U2 snRNP auxiliary factor
OG0001699	3'-5' exonuclease domain-containing protein
OG0004795	Hydroxyethylthiazole kinase
OG0002418	ubiquitin
OG0000582	glycoside hydrolase family 16 protein
OG0003302	oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor
OG0006708	GTPase that associates with the 50S ribosomal subunit and may have a role during protein synthesis or ribosome biogenesis
OG0008391	DNA topoisomerase type I activity
OG0001447	component of the pyruvate dehydrogenase (PDH) complex, that catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2)
OG0000455	alpha-amylase
OG0000571	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
OG0009361	Domain Homologous to E6-AP Carboxyl Terminus with
OG0003747	Belongs to the P(II) protein family
OG0009041	PPPDE putative peptidase domain
OG0004370	UDP-N-acetylglucosamine transferase subunit ALG14. Source PGD
OG0000690	Adds a myristoyl group to the N-terminal glycine residue of certain cellular proteins
OG0002670	Belongs to the class I-like SAM-binding methyltransferase superfamily. Erg6 SMT family
OG0000224	Catalyzes the phosphorylation of the 3'-hydroxyl group of dephosphocoenzyme A to form coenzyme A
OG0000518	DEAD DEAH box helicase domain-containing protein
OG0001201	Belongs to the DHHC palmitoyltransferase family
OG0007427	Belongs to the iron ascorbate-dependent oxidoreductase family
OG0001518	protein folding
OG0000481	It is involved in the biological process described with N-glycan processing
OG0002054	acid phosphatase activity
OG0003230	sphingolipid delta-4 desaturase activity
OG0008330	X-domain of DnaJ-containing
OG0001258	pyrimidine dimer repair by nucleotide-excision repair
OG0007165	ATP binding
OG0003787	Nucleoside diphosphate kinase
OG0002473	Arp2/3 complex-mediated actin nucleation
OG0006310	heme binding
OG0001393	DnaJ (Hsp40) homolog, subfamily B, member 2
OG0001130	Glutathione S-transferase, C-terminal domain
OG0000109	binding. It is involved in the biological process described with lysyl-tRNA aminoacylation
OG0000654	von Willebrand factor (vWF) type A domain
OG0007702	Belongs to the class I-like SAM-binding methyltransferase superfamily. RsmB NOP family
OG0004785	Sigma factor PP2C-like phosphatases
OG0000385	transmembrane 9 superfamily member 2
OG0007301	NADPH-dependent FMN reductase
OG0006787	Monodehydroascorbate reductase
OG0007242	Cwf18 pre-mRNA splicing factor protein
OG0007355	homolog, subfamily B, member 2
OG0000701	ribosomal protein
OG0003218	Ubiquitin-2 like Rad60 SUMO-like
OG0010148	Belongs to the type-B carboxylesterase lipase family
OG0010057	Malate dehydrogenase
OG0002559	DEAH (Asp-Glu-Ala-His) box polypeptide 34
OG0000024	heparin binding
OG0000836	prohibitin homologues
OG0002247	Dihydroxy-acid dehydratase. Source PGD
OG0001329	Lys63-specific deubiquitinase activity
OG0001289	pumilio homolog
OG0009170	Functions as actin-binding component of the Arp2 3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks. Seems to contact the mother actin filament
OG0005463	phosphatase 2C
OG0000289	PFAM peptidase C1A papain
OG0002749	Cephalosporin hydroxylase
OG0005519	Structural maintenance of chromosomes protein
OG0007407	Agc yank protein kinase
OG0000942	regulation of tocopherol cyclase activity
OG0000571	elongation factor Tu
OG0000841	membrane
OG0002697	Binds as a heterodimer with protein S6 to the central domain of the 16S rRNA, where it helps stabilize the platform of the 30S subunit
OG0008112	SNAP receptor activity
OG0000655	camp-dependent protein kinase
OG0002215	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
OG0001912	structural constituent of ribosome
OG0003251	-
OG0000100	2OG-Fe(II) oxygenase superfamily
OG0008799	Belongs to the protein kinase superfamily
OG0003722	domain-containing protein
OG0002226	unfolded protein binding
OG0004482	N-terminal conserved domain of Nudc.
OG0007910	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
OG0007227	PPPDE putative peptidase domain
OG0000514	Extension to Ser/Thr-type protein kinases
OG0007776	non-haem dioxygenase in morphine synthesis N-terminal
OG0003491	amino acid transmembrane transporter activity
OG0002074	Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family
OG0001825	cysteinyl-tRNA synthetase
OG0002799	Regulator of chromosome condensation (RCC1) repeat
OG0004128	Conserved hypothetical protein 95
OG0001733	ATP-dependent RNA helicase
OG0002000	ATPase family associated with various cellular activities (AAA)
OG0001963	phosphatase
OG0000661	betaine-homocysteine S-methyltransferase activity
OG0000763	Camp-dependent protein kinase
OG0000154	ATP-dependent RNA helicase which is a subunit of the eIF4F complex involved in cap recognition and is required for mRNA binding to ribosome. In the current model of translation initiation, eIF4A unwinds RNA secondary structures in the 5'-UTR of mRNAs which is necessary to allow efficient binding of the small ribosomal subunit, and subsequent scanning for the initiator codon (By similarity)
OG0004404	DNA ligase
OG0000176	Sodium-dependent phosphate transport protein
OG0000528	ubiquitin-dependent ERAD pathway
OG0001056	Belongs to the DEAD box helicase family
OG0001031	Catalyzes the NADPH-dependent formation of L-aspartate- semialdehyde (L-ASA) by the reductive dephosphorylation of L- aspartyl-4-phosphate
OG0002090	Serine palmitoyltransferase
OG0005574	deSI-like protein At4g17486
OG0006586	Acyl-CoA dehydrogenase, C-terminal domain
OG0002994	phosphatase
OG0003356	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
OG0009304	RNA recognition motif 2 family protein
OG0005769	N-terminal domain of galactosyltransferase
OG0000066	calmodulin
OG0000168	small ribosomal subunit rRNA binding
OG0008432	GTP-binding protein
OG0007394	methyltransferase activity
OG0000563	AMP-binding enzyme C-terminal domain
OG0000520	protein disulfide isomerase activity
OG0003706	Belongs to the thioredoxin family
OG0002337	Belongs to the class-II aminoacyl-tRNA synthetase family
OG0003284	ATP-dependent Clp protease adaptor protein ClpS
OG0000262	belongs to the protein kinase superfamily
OG0002574	glutathione-disulfide reductase activity
OG0009725	Radical SAM superfamily
OG0002851	Belongs to the UDP-glycosyltransferase family
OG0000312	Malic enzyme, NAD binding domain
OG0005500	Nucleolar GTP-binding protein
OG0007393	DnaJ molecular chaperone homology domain
OG0004645	calcium-dependent cysteine-type endopeptidase activity
OG0003022	RING-H2 finger protein
OG0004607	ALBINO3-like protein 1
OG0008255	Retinal pigment epithelial membrane protein
OG0007224	anaphase-promoting complex subunit
OG0006921	palmitoyl-(protein) hydrolase activity
OG0001060	Domain in DAP-5, eIF4G, MA-3 and other proteins.
OG0000022	Pre-mRNA-splicing factor ATP-dependent RNA helicase
OG0003570	DNA-directed RNA
OG0002347	phosphoprotein phosphatase activity
OG0004325	rna exonuclease
OG0007537	Syntaxin
OG0000863	Ion transport protein
OG0004064	negative regulation of centriole-centriole cohesion
OG0000650	Plays a fundamental role in microtubule organizing center structure and function. Component of the infraciliary lattice (ICL) and the ciliary basal bodies
OG0005059	Methyltransferase domain
OG0002585	protein kinase activity
OG0000290	proton-transporting ATP synthase activity, rotational mechanism
OG0000532	choline dehydrogenase activity
OG0007184	cwf21 domain
OG0009384	Histidine phosphatase superfamily (branch 1)
OG0001418	Domain of unknown function (DUF2431)
OG0008968	Serine threonine-protein phosphatase
OG0000430	Membrane-associated ring finger (C3HC4) 7
OG0001775	Belongs to the DHHC palmitoyltransferase family
OG0009205	DUSP domain
OG0007703	cAMP-dependent protein kinase regulator activity
OG0003322	splicing factor
OG0004354	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
OG0008939	homoserine O-acetyltransferase
OG0000530	sister chromatid cohesion
OG0002020	Tryptophan/tyrosine permease family
OG0009163	calcium-dependent cysteine-type endopeptidase activity
OG0005100	Belongs to the DHHC palmitoyltransferase family
OG0004773	Inositol monophosphatase 1
OG0006334	Phytanoyl-CoA dioxygenase (PhyH)
OG0006892	acyl-CoA hydrolase activity
OG0008875	Dehydrogenase
OG0001376	Replication factor C subunit
OG0000550	cysteine-type peptidase activity
OG0007136	RWD domain-containing protein
OG0000893	RING-like zinc finger
OG0008649	Formamidopyrimidine-DNA glycosylase
OG0001535	SMART serine threonine protein kinase
OG0008836	palmitoyl-(protein) hydrolase activity
OG0000786	ribosomal protein
OG0007508	Belongs to the peptidase C2 family
OG0004320	UDP-glucuronate decarboxylase activity
OG0000292	Belongs to the peptidase C19 family
OG0003444	Belongs to the peptidase C1 family
OG0001932	zinc finger
OG0000823	Fatty acid desaturase
OG0000345	voltage-gated potassium channel activity
OG0001544	Clp protease
OG0000111	Cold shock protein domain
OG0006716	stress-activated protein kinase signaling cascade
OG0007349	Ribosomal protein L19
OG0009333	Belongs to the class-I aminoacyl-tRNA synthetase family
OG0000070	L-malate dehydrogenase activity
OG0000132	Glycosyl hydrolase family 7
OG0006466	Beta-lactamase superfamily domain
OG0000117	1,4-alpha-glucan branching enzyme activity
OG0001403	PA14 domain
OG0006444	RNA helicase
OG0000012	belongs to the actin family
OG0000963	ATP binding
OG0008331	histone peptidyl-prolyl isomerization
OG0008183	ATPase activity, coupled to transmembrane movement of substances
OG0002422	LON peptidase N-terminal domain and RING finger
OG0000445	DEAD-like helicases superfamily
OG0001340	procollagen-lysine 5-dioxygenase activity
OG0000215	ATPase, Na K transporting, alpha 4 polypeptide
OG0001305	Solute carrier family 35 (CMP-sialic acid transporter), member A1
OG0000979	Involved in the gluconeogenesis. Catalyzes the conversion of oxaloacetate (OAA) to phosphoenolpyruvate (PEP) through direct phosphoryl transfer between the nucleoside triphosphate and OAA
OG0009010	TBC1 domain family, member 19
OG0006048	Major Facilitator Superfamily
OG0001310	Adenylate and guanylate cyclase catalytic domain-containing protein
OG0000343	pyramidal neuron development
OG0001130	Glutathione S-transferase, N-terminal domain
OG0007615	Exostosin family
OG0001643	fructose 1,6-bisphosphate 1-phosphatase activity
OG0002881	Bifunctional dihydrofolate reductase-thymidylate synthase 2. Source PGD
OG0007673	Chitobiosyldiphosphodolichol beta-mannosyltransferase
OG0006218	Microsomal signal peptidase 12 kDa subunit (SPC12)
OG0003290	Calcium calmodulin-dependent protein kinase IV
OG0008279	Peptidyl-prolyl cis-trans isomerase
OG0002371	sucrose phosphate synthase
OG0004379	Bystin
OG0000636	Cholesterol desaturase daf-36-like
OG0003705	SNARE associated Golgi protein
OG0006414	Protein of unknown function (DUF2009)
OG0000324	Mediates cleavage of dimethlysulfonioproprionate (DMSP) into dimethyl sulfide (DMS) and acrylate. DMS is the principal form by which sulfur is transported from oceans to the atmosphere and is a key component of the ocean sulfur cycle
OG0000869	N-terminal peptidyl-proline dimethylation
OG0004280	Catalytic subunit of the tRNA-splicing ligase complex that acts by directly joining spliced tRNA halves to mature-sized tRNAs by incorporating the precursor-derived splice junction phosphate into the mature tRNA as a canonical 3',5'- phosphodiester. May act as
OG0000165	antigen processing and presentation of exogenous peptide antigen via MHC class II
OG0001326	Serine threonine-protein kinase tousled-like
OG0005767	phosphate ion transport
OG0001384	Protein N-lysine methyltransferase
OG0005234	histidinol-phosphate transaminase activity
OG0001067	calmodulin-dependent protein kinase activity
OG0001795	Alpha beta hydrolase
OG0000300	cell redox homeostasis
OG0006082	dipeptidyl-peptidase activity
OG0007366	CDP-glycerol diphosphatase activity
OG0001045	Saccharopine dehydrogenase
OG0007524	Solute carrier family 28
OG0009443	Involved in the biosynthesis of branched-chain amino acids (BCAA). Catalyzes an alkyl-migration followed by a ketol- acid reduction of (S)-2-acetolactate (S2AL) to yield (R)-2,3- dihydroxy-isovalerate. In the isomerase reaction, S2AL is rearranged via a Mg-dependent methyl migration to produce 3- hydroxy-3-methyl-2-ketobutyrate (HMKB). In the reductase reaction, this 2-ketoacid undergoes a metal-dependent reduction by NADPH to yield (R)-2,3-dihydroxy-isovalerate
OG0008518	rhodanese-like domain-containing protein
OG0000681	Alkyl hydroperoxide reductase
OG0000928	Methyltransferase
OG0004618	DnaJ molecular chaperone homology domain
OG0001012	Fructose-bisphosphate aldolase class-II
OG0009277	Exostosin family
OG0005621	ATP-dependent RNA Helicase
OG0000726	COG0138 AICAR transformylase IMP cyclohydrolase PurH (only IMP cyclohydrolase domain in Aful)
OG0008558	tRNAPhe (7-(3-amino-3-carboxypropyl)wyosine37-C2)-hydroxylase activity
OG0004957	protein disulfide oxidoreductase activity
OG0007877	rRNA-processing protein fcf2-like
OG0002867	phosphoribosylformylglycinamidine synthase activity
OG0001830	assists the folding of proteins upon ATP hydrolysis
OG0000437	citrate (Si)-synthase activity
OG0001749	Involved in chlorophyll biosynthesis. Catalyzes the insertion of magnesium ion into protoporphyrin IX to yield Mg- protoporphyrin IX
OG0000017	ABC transporter B family
OG0001515	Beta-1,4-xylosyltransferase
OG0007034	Belongs to the adenylate kinase family
OG0008123	Coiled-coil domain containing 153
OG0001050	peptide-aspartate beta-dioxygenase activity
OG0002788	snoRNA binding
OG0010138	DEAD-box ATP-dependent RNA helicase
OG0001313	Capsular polysaccharide synthesis protein
OG0009786	Belongs to the glycosyl hydrolase 5 (cellulase A) family
OG0004962	SWI SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 isoform X1
OG0001481	oxidoreductase activity
OG0007065	PFAM peptidase M48 Ste24p
OG0004782	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
OG0007472	zinc ion transmembrane transporter activity
OG0008351	Asparaginase
OG0000998	Allomyces macrogynus ATCC 38327 NEK protein kinase
OG0006717	60Kd inner membrane protein
OG0001409	Enolase 1a, (alpha)
OG0008334	Epoxide hydrolase N terminus
OG0003689	Asparaginyl-tRNA synthetase
OG0002537	phenylalanyl-tRNA aminoacylation
OG0000310	Long chain acyl-CoA synthetase
OG0002237	Potassium channel tetramerisation domain containing
OG0009153	Catalyzes the synthesis of dihydrouridine, a modified base found in the D-loop of most tRNAs
OG0000559	Macrocin-O-methyltransferase (TylF)
OG0001415	peptide-methionine (R)-S-oxide reductase activity
OG0002671	C-terminus of AA_permease
OG0007438	Protein kinase, putative
OG0003667	DNA polymerase delta subunit 2
OG0000681	alkyl hydroperoxide reductase
OG0008546	EF-hand domain pair
OG0001551	Intra-flagellar transport protein 57
OG0006770	ubiquitin conjugating enzyme binding
OG0000840	protein serine/threonine phosphatase activity
OG0001236	GTP-binding protein
OG0002142	5'-nucleotidase, C-terminal domain
OG0002624	retrograde trans-synaptic signaling by lipid
OG0002216	serine-type peptidase activity
OG0000806	Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase
OG0001919	-
OG0003691	Uncharacterised protein family (UPF0160)
OG0006703	positive regulation of mitochondrial translation
OG0001490	Glutamine amidotransferase class-I
OG0000095	isocitrate lyase activity
OG0003766	Catalyzes the reversible adenylation of nicotinate mononucleotide (NaMN) to nicotinic acid adenine dinucleotide (NaAD)
OG0003431	posttranslational protein targeting to membrane, translocation
OG0000012	Belongs to the actin family
OG0002349	fatty acid peroxidase activity
OG0009231	Nitronate monooxygenase
OG0003584	Pfam:DUF3529
OG0005591	peptidyl-threonine phosphorylation
OG0007334	Belongs to the ALG6 ALG8 glucosyltransferase family
OG0005157	COG0457 FOG TPR repeat
OG0004739	Purple acid phosphatase
OG0007942	ion transmembrane transporter activity
OG0004671	pseudouridine synthase activity
OG0003912	Essential for the assembly of the photosystem I (PSI) complex. May act as a chaperone-like factor to guide the assembly of the PSI subunits
OG0008413	Cyclin_C
OG0009542	spectrin binding
OG0004424	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
OG0000826	Pumilio homolog 6
OG0004364	Belongs to the AAA ATPase family
OG0000581	PFAM Phosphoribulokinase uridine kinase
OG0003093	ubiquitin protein ligase binding
OG0002132	Domain of unknown function (DUF1768)
OG0002897	Lysine methyltransferase
OG0002313	Calcium/calmodulin dependent protein kinase II association domain
OG0000307	cytoplasmic translation
OG0008045	Peptidase family C69
OG0000112	electron transport coupled proton transport
OG0001250	ATP synthesis coupled proton transport
OG0008651	Belongs to the protein disulfide isomerase family
OG0003319	peptidylprolyl isomerase
OG0003039	Calcium-dependent protein kinase
OG0001010	calcium-dependent cysteine-type endopeptidase activity
OG0001285	WD domain, G-beta repeat
OG0006185	Protein phosphatase, Mg2 Mn2 dependent, 1Na
OG0002071	eukaryotic translation initiation factor
OG0005245	Belongs to the universal ribosomal protein uS9 family
OG0004309	RNA-binding protein mei2 homologue
OG0000088	Papain family cysteine protease
OG0001888	succinyltransferase component of 2-oxoglutarate dehydrogenase complex
OG0007781	EamA-like transporter family
OG0000317	structural constituent of ribosome
OG0007261	Involved in maintaining the homeostasis of cellular nucleotides by catalyzing the interconversion of nucleoside phosphates. Has GTP AMP phosphotransferase and ITP AMP phosphotransferase activities
OG0000607	isocitrate dehydrogenase (NADP+) activity
OG0002818	U1 snrnp splicing complex subunit
OG0004161	Minichromosome maintenance 8 homologous recombination repair factor
OG0002586	EF-hand domain pair
OG0002582	decanoate-CoA ligase activity
OG0006752	homolog subfamily C member 7
OG0009978	heme binding
OG0000293	RNA helicase activity
OG0002573	enoyl-CoA hydratase
OG0002179	oxidative phosphorylation uncoupler activity
OG0009272	Tex-like protein N-terminal domain
OG0002727	oxidation-reduction process
OG0009655	Putative methyltransferase
OG0005097	prohibitin homologues
OG0000014	Belongs to the peptidase C1 family
OG0007506	NADPH:sulfur oxidoreductase activity
OG0006970	calcium-binding protein
OG0008357	ATP-dependent protein binding
OG0001916	DnaJ molecular chaperone homology domain
OG0000024	semaphorin receptor binding
OG0000527	response to arachidonic acid
OG0005616	Formyl transferase
OG0005604	Peptidyl-prolyl cis-trans isomerase
OG0000186	14-3-3 protein
OG0001898	Belongs to the class-I pyridine nucleotide-disulfide oxidoreductase family
OG0008339	zinc-finger of a C2HC-type
OG0008633	Belongs to the DEAD box helicase family
OG0002088	family UPF0066
OG0002247	Belongs to the IlvD Edd family
OG0003845	Rab subfamily of small GTPases
OG0008850	cAMP-dependent protein kinase regulator activity
OG0000165	Belongs to the peptidase A1 family
OG0002796	Clusterin-associated protein-1
OG0003261	DnaJ C terminal domain
OG0003198	vesicle-mediated transport
OG0009250	NADPH Oxidase
OG0005544	transporter
OG0000519	Kinase-like
OG0004769	Alpha-kinase family
OG0000517	Phosphoribosylglycinamide synthetase, C domain
OG0002257	Belongs to the class I-like SAM-binding methyltransferase superfamily. gTMT family
OG0001968	Anticodon binding domain
OG0000229	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
OG0007379	GTPase activity
OG0008981	thiopurine S-methyltransferase activity
OG0000029	RING-like zinc finger
OG0004418	Calcium-binding protein
OG0003330	Valosin containing protein lysine (K) methyltransferase
OG0000191	Belongs to the cysteine synthase cystathionine beta- synthase family
OG0009082	UAA transporter family
OG0003036	Triose-phosphate Transporter family
OG0009698	protein polyglutamylation
OG0002646	beta-glucosidase activity
OG0003029	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
OG0002327	Belongs to the eukaryotic ribosomal protein eS30 family
OG0005355	Mitochondrial 39-S ribosomal protein L47 (MRP-L47)
OG0000796	Belongs to the glycosyl hydrolase 1 family
OG0002658	Serine/Threonine protein kinases, catalytic domain
OG0004009	protein depalmitoylation
OG0000257	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions
