Breviolum180235	Peroxisomal biogenesis factor 7
Breviolum107264	motif in proteasome subunits, Int-6, Nip-1 and TRIP-15
Breviolum129519	Protein tyrosine kinase
Breviolum148482	Belongs to the eukaryotic ribosomal protein eL20 family
Breviolum60940	-
Breviolum208777	pumilio homolog
Breviolum130548	Arginase family
Breviolum96146	Protein phosphatase PTC7 homolog
Breviolum65346	Belongs to the DHHC palmitoyltransferase family
Breviolum178716	Ribosomal protein S16
Breviolum61909	Glycosyltransferase family 10 (fucosyltransferase) C-term
Breviolum75927	GlcNAc-PI de-N-acetylase
Breviolum78262	zinc finger
Breviolum86682	phosphopyruvate hydratase activity
Breviolum73624	Calmodulin-binding
Breviolum92527	isocitrate dehydrogenase (NADP+) activity
Breviolum207801	ubiquitin-protein transferase activity
Breviolum159608	vacuolar transport
Breviolum239075	1,4-alpha-glucan-branching enzyme
Breviolum157803	2OG-Fe(II) oxygenase superfamily
Breviolum44617	2OG-Fe(II) oxygenase superfamily
Breviolum276210	AMMECR1
Breviolum81328	UDP-glucose glycoprotein glucosyltransferase
Breviolum206018	Serine threonine protein, kinase
Breviolum82340	Citrate transporter
Breviolum56613	Glutamine synthetase. Source PGD
Breviolum239484	Protein tyrosine kinase
Breviolum177394	Protein kinase C iota
Breviolum73036	Beta2-adaptin appendage, C-terminal sub-domain
Breviolum149661	RING-like zinc finger
Breviolum20657	Sugar (and other) transporter
Breviolum210230	D-alanine [D-alanyl carrier protein] ligase activity
Breviolum110827	UDP-glucose GDP-mannose dehydrogenase family
Breviolum44522	Glycoside hydrolase. Source PGD
Breviolum100467	Aminotransferase, DegT DnrJ EryC1 StrS family protein
Breviolum27996	Belongs to the histidine acid phosphatase family
Breviolum28478	Prolyl 4-hydroxylase alpha subunit homologues.
Breviolum15568	Cupin-like domain
Breviolum85082	Zinc phosphodiesterase, which displays some tRNA 3'- processing endonuclease activity. Probably involved in tRNA maturation, by removing a 3'-trailer from precursor tRNA
Breviolum206810	protein secretion
Breviolum172022	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Breviolum76301	Belongs to the RNR ribonuclease family
Breviolum156399	glutathione transferase activity
Breviolum251362	O-methyltransferase
Breviolum101973	Protein phosphatase 2, regulatory subunit A, beta
Breviolum46879	reductase
Breviolum206409	LSM domain
Breviolum66270	Sugar phosphate phosphate translocator
Breviolum178153	very-long-chain 3-ketoacyl-CoA synthase activity
Breviolum245193	Starch binding domain
Breviolum51293	Protein phosphatase 2C
Breviolum456	dipeptidyl-peptidase activity
Breviolum76055	ATP-dependent Clp protease adaptor protein ClpS
Breviolum19819	protein with SCP PR1 domains
Breviolum274314	histone ubiquitination
Breviolum41285	N-terminal domain of 16S rRNA methyltransferase RsmF
Breviolum118407	phosphatase
Breviolum40302	O-methyltransferase
Breviolum116663	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides
Breviolum77439	Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase
Breviolum66108	RIO1 family
Breviolum84236	MAP kinase kinase activity
Breviolum72887	C-5 cytosine-specific DNA methylase
Breviolum172485	Ribosomal L28 family
Breviolum197794	DnaJ molecular chaperone homology domain
Breviolum143924	Belongs to the GPI family
Breviolum107482	peptidyl-prolyl cis-trans isomerase activity
Breviolum69557	DNA replication complex GINS protein
Breviolum65064	Splicing factor 3B subunit 3
Breviolum42757	amino acid
Breviolum114733	Cysteine protease family C02. Source PGD
Breviolum94677	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Breviolum57823	Dynamin family
Breviolum55162	Major Facilitator Superfamily
Breviolum274474	Interferon-inducible GTPase (IIGP)
Breviolum280000	Chaperone protein DNAj
Breviolum275768	DegT/DnrJ/EryC1/StrS aminotransferase family
Breviolum14083	palmitoyl-(protein) hydrolase activity
Breviolum48830	serine threonine-protein kinase
Breviolum56731	DnaJ C terminal domain
Breviolum94557	Cytidylyltransferase-like
Breviolum57074	homolog, subfamily B, member 8
Breviolum85417	NUC153 domain
Breviolum276766	This enzyme acetylates the N-terminal alanine of ribosomal protein S18
Breviolum21760	Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth
Breviolum80359	COG3145 Alkylated DNA repair protein
Breviolum10186	Responsible for synthesis of pseudouridine from uracil
Breviolum71687	DNA-(apurinic or apyrimidinic site) lyase
Breviolum42655	ATP-dependent helicase activity
Breviolum177580	oxidoreductase activity
Breviolum285498	secondary active sulfate transmembrane transporter activity
Breviolum34049	Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family
Breviolum84355	fatty acid amide hydrolase activity
Breviolum32243	Ankyrin repeats (many copies)
Breviolum58284	Tubulin-tyrosine ligase family
Breviolum175511	methyltransferase activity
Breviolum127224	RNA recognition motif
Breviolum244513	Protein tyrosine kinase
Breviolum273741	Responsible for the release of ribosomes from messenger RNA at the termination of protein biosynthesis. May increase the efficiency of translation by recycling ribosomes from one round of translation to another
Breviolum121281	heavy chain 1
Breviolum82372	Malic enzyme, NAD binding domain
Breviolum174180	-
Breviolum240206	[acyl-carrier-protein] S-malonyltransferase activity
Breviolum119412	TatD related DNase
Breviolum175066	Bile acid
Breviolum40292	RNA binding protein, contains ribosomal protein S1 domain
Breviolum158766	Elongation factor Tu C-terminal domain
Breviolum238911	Si ch211-195b15.8
Breviolum83135	Cystinosin homolog
Breviolum308547	Carbamoyltransferase C-terminus
Breviolum56695	Sugar (and other) transporter
Breviolum115874	Protein tyrosine kinase
Breviolum67337	protein ubiquitination
Breviolum21923	GTPase activity
Breviolum273288	cell division
Breviolum91426	cellular response to UV-C
Breviolum79488	RNA N1-methyladenosine dioxygenase activity
Breviolum211361	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway
Breviolum280960	RNA recognition motif
Breviolum57986	cation-transporting ATPase activity
Breviolum277729	nitrile biosynthetic process
Breviolum179877	Belongs to the cullin family
Breviolum66231	ATP-dependent protein binding
Breviolum253421	methyltransferase activity
Breviolum58984	zinc finger
Breviolum172173	ABC transporter
Breviolum317205	Protein kinase domain
Breviolum183303	Methyltransferase domain
Breviolum185326	enoyl-CoA hydratase activity
Breviolum84593	Serine aminopeptidase, S33
Breviolum95761	ATP-binding cassette, subfamily B (MDR TAP), member 11
Breviolum305460	microtubule motor activity
Breviolum284048	GPN-loop GTPase 1
Breviolum105819	Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex
Breviolum144085	Heterogeneous nuclear ribonucleoprotein
Breviolum78463	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
Breviolum5086	Acetyltransferase
Breviolum283672	MAP kinase activity
Breviolum105879	Domain Homologous to E6-AP Carboxyl Terminus with
Breviolum38569	ATPase that binds to both the 70S ribosome and the 50S ribosomal subunit in a nucleotide-independent manner
Breviolum58233	Calmodulin-binding
Breviolum121495	26S proteasome non-ATPase regulatory subunit
Breviolum127651	Methylase of chemotaxis methyl-accepting
Breviolum81584	50S ribosome-binding GTPase
Breviolum58900	positive regulation of hh target transcription factor activity
Breviolum273719	2-oxoglutarate and iron-dependent oxygenase
Breviolum86798	external encapsulating structure organization
Breviolum148578	alpha/beta hydrolase fold
Breviolum289265	protein serine/threonine phosphatase activity
Breviolum121019	Family of unknown function (DUF572)
Breviolum248827	Belongs to the cytochrome b5 family
Breviolum272745	peptide-methionine (S)-S-oxide reductase activity
Breviolum131553	Belongs to the glycosyl hydrolase 5 (cellulase A) family
Breviolum103858	P-type ATPase'
Breviolum158919	CobN/Magnesium Chelatase
Breviolum243312	Thaumatin family
Breviolum273605	Methyltransferase FkbM domain
Breviolum210326	Belongs to the peptidase M18 family
Breviolum80812	Phosphopantetheine attachment site
Breviolum117615	positive regulation of mRNA splicing, via spliceosome
Breviolum147389	heat shock protein 70
Breviolum47067	ATP-binding cassette sub-family B
Breviolum143661	intramolecular oxidoreductase activity, transposing S-S bonds
Breviolum186355	calcium-dependent cysteine-type endopeptidase activity
Breviolum173357	Mitochondrial carrier protein
Breviolum174112	Sulfite exporter TauE/SafE
Breviolum44666	ribosomal protein L17
Breviolum82748	Kinesin protein 1B
Breviolum112494	DNA topoisomerase type I activity
Breviolum213848	Pentapeptide repeats (9 copies)
Breviolum243107	Methyltransferase domain
Breviolum278711	Source PGD
Breviolum135372	protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity
Breviolum87483	Serine aminopeptidase, S33
Breviolum62065	Alpha/beta hydrolase family
Breviolum80543	phosphopantetheine binding
Breviolum46681	Lysine methyltransferase
Breviolum148647	serine threonine protein kinase
Breviolum279279	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Breviolum118609	Belongs to the universal ribosomal protein uL3 family
Breviolum72894	Belongs to the peroxisomal membrane protein PXMP2 4 family
Breviolum214689	protein-(glutamine-N5) methyltransferase activity
Breviolum69573	RING-like zinc finger
Breviolum81524	N-terminal domain of CBF1 interacting co-repressor CIR
Breviolum95632	Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate
Breviolum96463	Protein disulfide isomerase family A, member 2
Breviolum210158	cornified envelope assembly
Breviolum30392	Calcium/calmodulin dependent protein kinase II association domain
Breviolum74675	SMART serine threonine protein kinase
Breviolum126132	YT521-B-like domain
Breviolum61973	pectin acetylesterase activity
Breviolum120244	AAA domain
Breviolum158982	Protein N-lysine methyltransferase
Breviolum103019	E3 ubiquitin-protein ligase
Breviolum204844	phosphatase 2C
Breviolum271940	exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay
Breviolum177626	protein affecting Mg2 Co2 transport
Breviolum136647	U4 snRNA binding
Breviolum211996	Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors
Breviolum23360	Rab subfamily of small GTPases
Breviolum176535	Von Willebrand factor type A domain
Breviolum45325	Speckle-type poz protein
Breviolum84997	Mre11 DNA-binding presumed domain
Breviolum55289	polypeptide N-acetylgalactosaminyltransferase activity
Breviolum276117	Kelch motif
Breviolum171821	ligase regulator activity
Breviolum160245	EF-hand domain
Breviolum37038	Carbohydrate esterase, sialic acid-specific acetylesterase
Breviolum158868	COG0659 Sulfate permease and related transporters (MFS superfamily)
Breviolum39746	5-hydroxyisourate hydrolase-like
Breviolum12922	solute carrier family 35 (UDP-galactose transporter), member A2
Breviolum100228	palmitoyl-(protein) hydrolase activity
Breviolum68461	Cytochrome c
Breviolum175016	PFAM MMPL domain protein
Breviolum275427	Probable RNA and SrmB- binding site of polymerase A
Breviolum21023	isomerase activity
Breviolum18144	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily
Breviolum57551	dynein light chain binding
Breviolum51361	Belongs to the AAA ATPase family
Breviolum209533	Belongs to the DEAD box helicase family
Breviolum20712	homolog, subfamily B, member 2
Breviolum57099	elongation factor-2 kinase activity
Breviolum12217	Specifically methylates the cytosine at position 967 (m5C967) of 16S rRNA
Breviolum238517	transferase activity, transferring hexosyl groups
Breviolum134518	Phosphodiesterase 4B, cAMP-specific
Breviolum57856	cysteine-type peptidase activity
Breviolum16414	Binds the poly(A) tail of mRNA
Breviolum212833	protein-arginine omega-N asymmetric methyltransferase activity
Breviolum124904	Cyclin
Breviolum154894	Aldo/keto reductase family
Breviolum70	Belongs to the glycosyl hydrolase 30 family
Breviolum116878	E3 ubiquitin-protein ligase
Breviolum271496	2OG-Fe(II) oxygenase superfamily
Breviolum34337	annealing helicase activity
Breviolum270760	ubiquitin-protein transferase activity
Breviolum104004	FAD binding
Breviolum172705	AFG1-like ATPase
Breviolum57681	spectrin binding
Breviolum241246	OTU-like cysteine protease
Breviolum16278	CDPK-related protein kinase
Breviolum43571	Cyclin-dependent protein kinase
Breviolum84874	ShK toxin domain
Breviolum45821	N,N-dimethylaniline monooxygenase activity
Breviolum101299	T-complex protein 1 subunit gamma
Breviolum95233	Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase
Breviolum290490	Cytosolic purine
Breviolum115778	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity
Breviolum305515	NHL repeat
Breviolum238452	Zinc finger CCCH type domain
Breviolum50156	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Breviolum79126	Glycosyl hydrolase family 92
Breviolum273336	Involved in chlorophyll biosynthesis. Catalyzes the insertion of magnesium ion into protoporphyrin IX to yield Mg- protoporphyrin IX
Breviolum91773	3'-UTR-mediated mRNA destabilization
Breviolum108161	ICE family protease (Caspase) p20 domain-containing protein
Breviolum150066	Adhesion-associated domain present in MUC4 and other proteins
Breviolum147909	Protein kinase domain
Breviolum48690	Co-chaperone-curved DNA binding protein A
Breviolum250526	helicase activity
Breviolum80613	Belongs to the AAA ATPase family
Breviolum238607	retrograde trans-synaptic signaling by lipid
Breviolum53270	PFAM alpha beta hydrolase fold
Breviolum116737	amino acid transport
Breviolum70632	Peptidase M16 inactive domain
Breviolum237207	Calcium-dependent protein kinase
Breviolum123516	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Breviolum24015	Catalyzes the formation of malonyl-CoA from malonate and CoA
Breviolum284078	Staphylococcal nuclease homologues
Breviolum148111	Alpha-galactosidase A
Breviolum33814	Responsible for synthesis of pseudouridine from uracil
Breviolum48805	HID1 domain containing
Breviolum110643	cephalosporin hydroxylase
Breviolum90442	Ecotropic viral integration site
Breviolum118811	2-aminoadipate transaminase activity
Breviolum36703	UbiA prenyltransferase family
Breviolum272024	Protein FAM221A/B
Breviolum84231	Domains in hypothetical proteins in Drosophila, C. elegans and mammals. Occurs singly in some nucleoside diphosphate kinases.
Breviolum177608	Serine/Threonine protein kinases, catalytic domain
Breviolum16086	COG1055 Na H antiporter NhaD and related arsenite
Breviolum117747	calcium-dependent cysteine-type endopeptidase activity
Breviolum145893	PFAM Integral membrane protein TerC
Breviolum245990	Belongs to the small GTPase superfamily. Arf family
Breviolum153212	T-complex protein 1 subunit alpha
Breviolum166422	Belongs to the glycosyl hydrolase 47 family
Breviolum272446	Zinc finger, CCCH type
Breviolum310940	Serine threonine-protein phosphatase
Breviolum172215	protein polyglutamylation
Breviolum216993	Responsible for synthesis of pseudouridine from uracil
Breviolum58899	belongs to the protein kinase superfamily
Breviolum45777	The N-acetyltransferases (NAT)are enzymes that use acetyl coenzyme A (CoA) to transfer an acetyl group to a substrate, a reaction implicated in various functions from bacterial antibiotic resistance to mammalian circadian rhythm and chromatin remodeling
Breviolum47053	1-phosphatidylinositol-4-phosphate 5-kinase activity
Breviolum40814	ABC transporter
Breviolum241503	Leucine rich transmembrane and O-methyltransferase domain containing
Breviolum271232	Uncharacterized ACR, COG1678
Breviolum6545	Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate
Breviolum57103	Belongs to the peptidase C2 family
Breviolum23944	Mak16 protein C-terminal region
Breviolum205037	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. Specific peripheric component of RNA polymerase III which synthesizes small RNAs, such as 5S rRNA and tRNAs
Breviolum160064	Beta-lactamase
Breviolum280507	Carboxylesterase family
Breviolum21132	procollagen-proline 4-dioxygenase activity
Breviolum240265	protein folding
Breviolum210939	Glutaredoxin 2, C terminal domain
Breviolum115103	Catalyzes the phosphorylation of pyruvate to phosphoenolpyruvate
Breviolum118619	ubiquitin-protein transferase activity
Breviolum156724	protein N-terminus binding
Breviolum16982	Potassium voltage-gated channel, shaker-related subfamily, member 6
Breviolum273210	belongs to the flavoprotein pyridine nucleotide cytochrome reductase family
Breviolum20689	2-acylglycerol O-acyltransferase activity
Breviolum30657	Alpha-amylase domain
Breviolum60620	proton-transporting ATP synthase complex assembly
Breviolum137441	Family with sequence similarity 184, A and B
Breviolum60412	Catalyzes the specific attachment of an amino acid to its cognate tRNA in a 2 step reaction the amino acid (AA) is first activated by ATP to form AA-AMP and then transferred to the acceptor end of the tRNA. When secreted, acts as a signaling molecule that induces immune response through the activation of monocyte macrophages
Breviolum39415	Fumarylacetoacetate (FAA) hydrolase family
Breviolum77322	Alpha-tubulin suppressor and related RCC1 domain-containing proteins
Breviolum16370	Suppressor of mec-8 and unc-52 protein homolog
Breviolum65785	TAP-like protein
Breviolum106752	ATP binding
Breviolum178064	'Cold-shock' DNA-binding domain
Breviolum245217	Responsible for synthesis of pseudouridine from uracil
Breviolum20465	Poly(ADP-ribose) polymerase catalytic domain
Breviolum243439	EF-hand domain
Breviolum134095	Belongs to the DEAD box helicase family
Breviolum69303	palmitoyl-(protein) hydrolase activity
Breviolum117838	Glycosyl transferases group 1
Breviolum109060	Belongs to the ClpA ClpB family
Breviolum114184	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP
Breviolum52587	Protein tyrosine kinase
Breviolum87395	serine-type endopeptidase activity
Breviolum91486	PFAM Aminotransferase class I and II
Breviolum60630	Histone-lysine n-methyltransferase
Breviolum134713	Protein tyrosine kinase
Breviolum83192	ATPase family associated with various cellular activities (AAA)
Breviolum185549	Melibiase
Breviolum111318	oxidoreductase activity, acting on the CH-NH group of donors, flavin as acceptor
Breviolum121566	Phosphopantetheine adenylyltransferase
Breviolum182588	exostosin family
Breviolum177899	phosphatase
Breviolum104201	DNA primase is the polymerase that synthesizes small RNA primers for the Okazaki fragments made during discontinuous DNA replication
Breviolum185690	E3 ubiquitin-protein ligase
Breviolum84510	Clusterin-associated protein-1
Breviolum318354	Maf-like protein
Breviolum122421	epithelial cilium movement involved in determination of left/right asymmetry
Breviolum17426	kh domain-containing protein
Breviolum48689	Tubulin tyrosine ligase-like family, member 5
Breviolum15263	Ankyrin repeat
Breviolum56429	cyclin-dependent protein serine/threonine kinase activity
Breviolum60771	SET domain protein
Breviolum31221	RAB10, member RAS oncogene family
Breviolum77906	Involved in chlorophyll biosynthesis. Catalyzes the insertion of magnesium ion into protoporphyrin IX to yield Mg- protoporphyrin IX
Breviolum110485	Regulator of chromosome condensation (RCC1). Source PGD
Breviolum75869	Source PGD
Breviolum106989	Control of topological states of DNA by transient breakage and subsequent rejoining of DNA strands. Topoisomerase II makes double-strand breaks
Breviolum43401	UAA transporter family
Breviolum111668	Protein of unknown function (DUF2499)
Breviolum114958	cysteine-type peptidase activity
Breviolum131261	Domain in Tre-2, BUB2p, and Cdc16p. Probable Rab-GAPs.
Breviolum126866	Radical SAM superfamily
Breviolum58454	Dehydrogenases with different specificities (Related to short-chain alcohol dehydrogenases)
Breviolum2352	Catalyzes the irreversible transfer of a propylamine group from the amino donor S-adenosylmethioninamine (decarboxy- AdoMet) to putrescine (1,4-diaminobutane) to yield spermidine
Breviolum61136	NAD+ binding
Breviolum30406	palmitoyltransferase ZDHHC14
Breviolum77732	peptide-methionine (R)-S-oxide reductase activity
Breviolum210637	ATP-dependent serine protease that mediates the selective degradation of misfolded and unassembled polypeptides in the peroxisomal matrix. Necessary for type 2 peroxisome targeting signal (PTS2)-containing protein processing and facilitates peroxisome matrix protein import
Breviolum252433	N-terminal region of glycosyl transferase group 7
Breviolum280221	In Between Ring fingers
Breviolum116889	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family
Breviolum105785	Pantothenate kinase
Breviolum85087	Responsible for synthesis of pseudouridine from uracil
Breviolum277550	Middle or third domain of peptidase_M16
Breviolum66494	Family of unknown function (DUF572)
Breviolum19855	Serine/Threonine protein kinases, catalytic domain
Breviolum57443	RNA-binding protein mei2 homologue
Breviolum239928	6-phosphofructokinase. Source PGD
Breviolum69251	Ubiquitin carboxyl-terminal hydrolase
Breviolum105147	Calreticulin family
Breviolum40328	phosphatidylinositol binding
Breviolum37594	deSI-like protein At4g17486
Breviolum68189	Ribonucleotide reductase, small chain
Breviolum242917	DDHD
Breviolum278015	methyltransferase activity
Breviolum150322	ATPase activity
Breviolum24913	exosome complex exonuclease rrp40
Breviolum211798	PFAM Isochorismatase family
Breviolum174895	RNA recognition motif
Breviolum64558	methyltransferase activity
Breviolum94104	Calcium-dependent protein kinase
Breviolum30900	myotome development
Breviolum57492	stAR-related lipid transfer
Breviolum94243	Chaperone protein DNAj
Breviolum137604	Serine/Threonine protein kinases, catalytic domain
Breviolum120986	Inhibitor of apoptosis-promoting Bax1
Breviolum46245	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Breviolum87001	deSI-like protein At4g17486
Breviolum177104	acetolactate synthase activity
Breviolum58041	Belongs to the alternative oxidase family
Breviolum55244	Trehalase
Breviolum85189	Catalyzes the conversion of 3'-phosphate to a 2',3'- cyclic phosphodiester at the end of RNA. The mechanism of action of the enzyme occurs in 3 steps (A) adenylation of the enzyme by ATP
Breviolum75811	Belongs to the protein kinase superfamily
Breviolum65012	establishment of protein localization to peroxisome
Breviolum176864	Ammonium transporter
Breviolum64825	FAD binding
Breviolum272715	HECT E3 ubiquitin ligase. Source PGD
Breviolum162749	Cupin-like domain
Breviolum101502	Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family
Breviolum43938	PFAM Elongation factor Tu domain 2
Breviolum251370	regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation
Breviolum97289	Ubiquitin specific peptidase 9
Breviolum60396	Belongs to the argininosuccinate synthase family. Type
Breviolum83897	microtubule motor activity
Breviolum159926	microtubule motor activity. It is involved in the biological process described with microtubule-based movement
Breviolum3533	carboxylic ester hydrolase activity
Breviolum155843	transporter
Breviolum61796	Bifunctional aspartate aminotransferase and glutamate aspartate-prephenate
Breviolum15929	calmodulin-dependent protein kinase activity
Breviolum249450	ATP binding
Breviolum140957	Modified RING finger domain
Breviolum58834	RNA uridylyltransferase activity
Breviolum46944	Spermine/spermidine synthase domain
Breviolum127689	transferase activity, transferring hexosyl groups
Breviolum181231	DnaJ molecular chaperone homology domain
Breviolum171919	Responsible for synthesis of pseudouridine from uracil
Breviolum39828	base-excision repair, AP site formation via deaminated base removal
Breviolum273498	unfolded protein binding
Breviolum278298	Protein disulfide-isomerase A6
Breviolum109126	cAMP-specific 3',5'-cyclic phosphodiesterase 4A
Breviolum180997	Vitamin k epoxide reductase
Breviolum75385	Ankyrin repeats (many copies)
Breviolum29605	prohibitin homologues
Breviolum18166	Component of the endosomal sorting complex required for transport II (ESCRT-II), which is required for multivesicular body (MVB) formation and sorting of endosomal cargo proteins into MVBs
Breviolum18873	CBL-interacting protein kinase
Breviolum243093	Anticodon binding domain
Breviolum160436	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Breviolum121852	Histone deacetylase
Breviolum239709	Aldo/keto reductase family
Breviolum58666	RNA repair, ligase-Pnkp-associating, region of Hen1
Breviolum86888	sensory organ morphogenesis
Breviolum239700	Leukotriene A4 hydrolase, C-terminal
Breviolum86883	acyl-CoA dehydrogenase, very long chain
Breviolum271283	Glycosyl hydrolases family 16
Breviolum16148	Putative GTP-ase activating proteins for the small GTPase, ARF
Breviolum26627	-
Breviolum77332	-
Breviolum43950	Catalytic LigB subunit of aromatic ring-opening dioxygenase
Breviolum56502	negative regulation of inclusion body assembly
Breviolum36774	Haemolysin-III related
Breviolum87413	Formate/nitrite transporter
Breviolum18411	annealing helicase activity
Breviolum81808	RING-like zinc finger
Breviolum136371	lipoprotein localization
Breviolum82470	KR domain
Breviolum79836	Phosphorylase superfamily
Breviolum83176	antigen processing and presentation of exogenous peptide antigen via MHC class II
Breviolum244562	fructosamine metabolic process
Breviolum310462	Belongs to the protein-tyrosine phosphatase family. Non-receptor class dual specificity subfamily
Breviolum60373	ATP-binding Cassette (ABC) Superfamily. Source PGD
Breviolum50207	microtubule motor activity
Breviolum33192	vesicle-mediated transport
Breviolum75132	fucoxanthin chlorophyll a c protein
Breviolum239146	palmitoyl-(protein) hydrolase activity
Breviolum69796	N-terminal peptidyl-methionine acetylation
Breviolum240127	protein transport
Breviolum32425	AFG1 family ATPase
Breviolum117355	ATPase activity, coupled to transmembrane movement of substances
Breviolum42379	peroxisome organization
Breviolum111553	Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome
Breviolum172161	transmembrane transporter activity
Breviolum237399	Tetratricopeptide repeat
Breviolum84973	Protein kinase domain
Breviolum277648	alpha/beta hydrolase fold
Breviolum240237	High-affinity nickel-transport family protein
Breviolum65939	XPA binding protein 2
Breviolum242891	saccharopine dehydrogenase (NADP+, L-lysine-forming) activity
Breviolum74832	zinc finger A20 and AN1 domain-containing stress-associated protein
Breviolum291505	Thiamine pyrophosphate enzyme, C-terminal TPP binding domain
Breviolum156763	-
Breviolum77793	Anaphase-promoting complex subunit
Breviolum69767	Binds as a heterodimer with protein S6 to the central domain of the 16S rRNA, where it helps stabilize the platform of the 30S subunit
Breviolum158279	calcium-dependent protein kinase
Breviolum24215	Thioredoxin
Breviolum12571	Transmembrane protein 65
Breviolum279102	ATPase family associated with various cellular activities (AAA)
Breviolum180449	Voltage gated chloride channel
Breviolum94898	peptide-aspartate beta-dioxygenase activity
Breviolum158487	oxidoreductase activity
Breviolum92133	regulation of viral translation
Breviolum77189	Serine threonine-protein kinase endoribonuclease
Breviolum31532	spectrin binding
Breviolum75962	Belongs to the mitochondrial carrier (TC 2.A.29) family
Breviolum148828	homoserine O-acetyltransferase
Breviolum213621	Cephalosporin hydroxylase
Breviolum85001	alcohol dehydrogenase
Breviolum80453	RNA-binding protein 5-like protein
Breviolum63765	photo-lyase
Breviolum116349	PFAM HPP family
Breviolum32901	methyltransferase
Breviolum132157	Replication factor-A protein 1, N-terminal domain
Breviolum11100	camp-specific 3,5-cyclic phosphodiesterase
Breviolum39764	Belongs to the adaptor complexes medium subunit family
Breviolum159359	cAMP-dependent protein kinase regulatory subunit
Breviolum128765	mitochondria-associated ubiquitin-dependent protein catabolic process
Breviolum55566	Belongs to the DEAD box helicase family
Breviolum207093	regulation of endocannabinoid signaling pathway
Breviolum80705	von Willebrand factor type A domain
Breviolum73182	protein serine/threonine phosphatase activity
Breviolum274906	-
Breviolum156257	NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase
Breviolum211474	Domain of unknown function (DUF4457)
Breviolum129485	-
Breviolum240145	oxoglutarate dehydrogenase (succinyl-transferring) activity
Breviolum43321	translation elongation factor activity
Breviolum143702	microtubule motor activity
Breviolum65816	Intra-flagellar transport protein 57
Breviolum158111	Belongs to the DHHC palmitoyltransferase family
Breviolum41856	KR domain
Breviolum243136	Sas10 C-terminal domain
Breviolum69907	glucose import
Breviolum53937	peptidyl-prolyl cis-trans isomerase activity
Breviolum53328	Phosphoglycerate mutase family
Breviolum104725	procollagen-lysine 5-dioxygenase activity
Breviolum97412	creatine kinase activity
Breviolum180494	PKHD-type hydroxylase At1g22950-like
Breviolum58749	Cid1 family poly A polymerase
Breviolum93252	Golgi to endosome transport
Breviolum32190	3'-5' exonuclease
Breviolum208573	Malate/L-lactate dehydrogenase
Breviolum142711	peptidyl-proline hydroxylation to 4-hydroxy-L-proline
Breviolum209358	Cupin-like domain
Breviolum69391	ELMO domain-containing protein 3
Breviolum115633	calcium-transporting ATPase activity
Breviolum1464	At4g28440-like
Breviolum113175	EGF domain
Breviolum40639	oxidoreductase activity
Breviolum173706	reductase
Breviolum240460	-
Breviolum30550	Citrate transporter
Breviolum89628	CAP_GLY
Breviolum205040	BTB POZ domain-containing protein
Breviolum44290	EF-hand domain
Breviolum210199	Methyltransferase domain
Breviolum148531	to Saccharomyces cerevisiae REX4 (YOL080C)
